"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Tuba4a"	1.67230140829568e-15	-1.02561455546032	0.128	0.366	3.34460281659137e-12	"0"	"Tuba4a"
"Ndufv2"	5.71086501368291e-15	-0.642778994596347	0.686	0.654	1.14217300273658e-11	"0"	"Ndufv2"
"Ckmt2"	6.6552717333686e-15	-1.10301581912144	0.111	0.337	1.33105434667372e-11	"0"	"Ckmt2"
"Cyc1"	5.42635445254507e-14	-0.725755209453568	0.565	0.616	1.08527089050901e-10	"0"	"Cyc1"
"Ndufa5"	6.36287797051484e-14	-0.684211941080883	0.841	0.742	1.27257559410297e-10	"0"	"Ndufa5"
"Cldn5"	1.06883373424065e-13	-0.816289020498384	0.016	0.251	2.1376674684813e-10	"0"	"Cldn5"
"Csrp3"	2.09170480173853e-13	-0.745058690756928	0.098	0.306	4.18340960347705e-10	"0"	"Csrp3"
"Pkm"	2.52149195538292e-13	-0.766779224283667	0.783	0.743	5.04298391076583e-10	"0"	"Pkm"
"Uqcrfs1"	2.93073986089831e-12	-0.813811644443832	0.642	0.625	5.86147972179663e-09	"0"	"Uqcrfs1"
"Tcap"	2.12854460731606e-11	-2.30686955450018	0.233	0.435	4.25708921463212e-08	"0"	"Tcap"
"Ndufab1"	3.16697980871048e-11	-0.668850127118133	0.739	0.693	6.33395961742095e-08	"0"	"Ndufab1"
"Pi16"	5.27770030632845e-11	-0.949841537035742	0.386	0.358	1.05554006126569e-07	"0"	"Pi16"
"Cox7a1"	3.92689242393582e-10	-1.28523487929627	0.152	0.37	7.85378484787163e-07	"0"	"Cox7a1"
"Uqcrc1"	4.33084355107573e-10	-0.51002759116816	0.574	0.595	8.66168710215147e-07	"0"	"Uqcrc1"
"Mdh1"	1.03809491849303e-09	-0.521060283835908	0.764	0.808	2.07618983698605e-06	"0"	"Mdh1"
"Lmcd1"	1.37775715138273e-09	-0.764963889602256	0.12	0.348	2.75551430276547e-06	"0"	"Lmcd1"
"Phlda3"	3.00213382845099e-09	-0.578770625038745	0.597	0.708	6.00426765690198e-06	"0"	"Phlda3"
"Limch1"	7.57586265365786e-09	-0.538381053207498	0.241	0.409	1.51517253073157e-05	"0"	"Limch1"
"Mrpl42"	1.05298827527375e-08	-0.869215576406899	0.609	0.605	2.10597655054751e-05	"0"	"Mrpl42"
"Ank1"	2.05347000176248e-08	-0.526418417241951	0.238	0.342	4.10694000352496e-05	"0"	"Ank1"
"Jsrp1"	5.80899059910865e-08	-0.801702113713903	0.166	0.38	0.000116179811982173	"0"	"Jsrp1"
"Ndufs7"	1.05667955092905e-07	-0.56355065461521	0.756	0.682	0.000211335910185809	"0"	"Ndufs7"
"Mpc1"	2.94139130396937e-07	-0.862974152035867	0.808	0.694	0.000588278260793875	"0"	"Mpc1"
"Pgm2"	3.18860713759595e-06	-0.534571607959875	0.394	0.423	0.0063772142751919	"0"	"Pgm2"
"Sdhb"	1.47444840588189e-05	-0.547612314959666	0.66	0.637	0.0294889681176377	"0"	"Sdhb"
"Ndufb2"	1.64964890762305e-05	-0.618253633867792	0.737	0.667	0.032992978152461	"0"	"Ndufb2"
"Sbsn"	1.88652259159599e-05	-0.544943680824213	0.217	0.377	0.0377304518319198	"0"	"Sbsn"
"Epas1"	2.92337457486381e-05	-0.574332653705349	0.408	0.405	0.0584674914972761	"0"	"Epas1"
"Mpc2"	4.02019499772351e-05	-0.753818077863845	0.856	0.743	0.0804038999544702	"0"	"Mpc2"
"Chchd10"	8.52017550037262e-05	-1.95354145814518	0.199	0.389	0.170403510007452	"0"	"Chchd10"
"Id1"	9.96600557073182e-05	-0.799011113464948	0.332	0.388	0.199320111414636	"0"	"Id1"
"Pgam2"	0.000105641721560952	-2.20470444986648	0.228	0.406	0.211283443121905	"0"	"Pgam2"
"Msrb1"	0.000411717754197544	-0.589315750969575	0.495	0.484	0.823435508395089	"0"	"Msrb1"
"Anxa3"	0.000780190471654892	-0.620503069426099	0.623	0.563	1	"0"	"Anxa3"
"Myh1"	0.00162771999540567	-1.18914169593893	0.188	0.359	1	"0"	"Myh1"
"Coq10a"	0.00260782888177982	-0.762258733769983	0.278	0.427	1	"0"	"Coq10a"
"Gngt2"	0.00269241438841559	-0.691582336115077	0.119	0.31	1	"0"	"Gngt2"
"Mb"	0.00415781247539047	-2.04704458418973	0.156	0.337	1	"0"	"Mb"
