"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Opcml"	2.94756644816499e-197	0.589489867276153	0.644	0.451	5.89513289632999e-194	"1"	"Opcml"
"Mnda.1"	6.10411001102632e-197	0.504754857585399	0.824	0.655	1.22082200220526e-193	"1"	"Mnda"
"Krtdap"	3.18677869398887e-187	0.816984963714907	0.333	0.067	6.37355738797775e-184	"1"	"Krtdap"
"Hk2"	1.13332361857403e-186	0.755601460841311	0.798	0.709	2.26664723714807e-183	"1"	"Hk2"
"Bmp2.1"	2.7686405001496e-175	0.640070853929371	0.71	0.52	5.5372810002992e-172	"1"	"Bmp2"
"Adamts1.1"	7.8670514174346e-172	0.513903925384902	0.79	0.473	1.57341028348692e-168	"1"	"Adamts1"
"Errfi1"	1.77489998088096e-156	0.58076451606585	0.857	0.696	3.54979996176192e-153	"1"	"Errfi1"
"Aldh1a3"	1.38478062318974e-126	0.670933671648458	0.579	0.437	2.76956124637949e-123	"1"	"Aldh1a3"
"Olfml2a"	1.25220332033195e-111	0.506467763033124	0.565	0.422	2.5044066406639e-108	"1"	"Olfml2a"
"Ccl7"	4.86185314713226e-88	0.574121126855604	0.48	0.363	9.72370629426451e-85	"1"	"Ccl7"
"Tiparp"	4.48756592132116e-81	0.538209332560856	0.773	0.689	8.97513184264232e-78	"1"	"Tiparp"
"Gm12840"	4.29978629255316e-62	0.653704581249633	0.504	0.449	8.59957258510632e-59	"1"	"Gm12840"
"Ptx3"	3.08257910131508e-43	1.08965205695235	0.502	0.478	6.16515820263015e-40	"1"	"Ptx3"
"Dmkn"	9.36121158811332e-27	0.662808856426321	0.326	0.265	1.87224231762266e-23	"1"	"Dmkn"
"Ccl21a.2"	0	2.22901822546543	0.963	0.171	0	"2"	"Ccl21a"
"Clu.2"	0	1.536166054606	0.964	0.297	0	"2"	"Clu"
"Id1.2"	0	1.49969066671584	0.904	0.311	0	"2"	"Id1"
"Pecam1.2"	0	1.36940333286974	0.891	0.161	0	"2"	"Pecam1"
"Fabp4.2"	0	1.35774661908749	0.969	0.291	0	"2"	"Fabp4"
"Flt1.2"	0	1.23969293960674	0.877	0.146	0	"2"	"Flt1"
"Egfl7.2"	0	1.23818974914954	0.947	0.169	0	"2"	"Egfl7"
"Cdh13.2"	0	1.18815414407374	0.968	0.363	0	"2"	"Cdh13"
"Slc9a3r2.2"	0	1.14132307790191	0.9	0.294	0	"2"	"Slc9a3r2"
"Cytl1.2"	0	1.13871681794191	0.944	0.141	0	"2"	"Cytl1"
"Cdh5.2"	0	1.12698724818789	0.896	0.141	0	"2"	"Cdh5"
"Sema3g.2"	0	0.969128899396268	0.962	0.161	0	"2"	"Sema3g"
"Sdpr.2"	0	0.967765024083327	0.953	0.356	0	"2"	"Sdpr"
"Gkn3.2"	0	0.949274420713795	0.957	0.151	0	"2"	"Gkn3"
"Cav1.1"	0	0.925824809231928	0.971	0.498	0	"2"	"Cav1"
"Lpar6.2"	0	0.894511235174524	0.891	0.294	0	"2"	"Lpar6"
"Vegfc.2"	0	0.811835885647428	0.977	0.307	0	"2"	"Vegfc"
"Edn1.1"	0	0.786651286930353	0.968	0.346	0	"2"	"Edn1"
"Gja4.1"	0	0.638135812004673	0.948	0.152	0	"2"	"Gja4"
"Hs3st1.1"	0	0.618893874146948	0.971	0.286	0	"2"	"Hs3st1"
"Igf2.1"	0	0.550016517678512	0.977	0.392	0	"2"	"Igf2"
"Entpd1.1"	0	0.544374495611029	0.977	0.469	0	"2"	"Entpd1"
"Tm6sf1.2"	0	0.539573261992426	0.902	0.302	0	"2"	"Tm6sf1"
"Pdgfb.1"	0	0.518526037386614	0.965	0.205	0	"2"	"Pdgfb"
"Tspan13.2"	2.27935921649836e-287	0.6393083525259	0.878	0.198	4.55871843299672e-284	"2"	"Tspan13"
"Lrg1"	4.55902805993837e-273	0.550321669306851	0.829	0.181	9.11805611987673e-270	"2"	"Lrg1"
"Jag1"	2.33813588060419e-251	0.573487140034409	0.94	0.438	4.67627176120839e-248	"2"	"Jag1"
"Cldn5.1"	6.71576000592158e-250	1.43881715716033	0.802	0.128	1.34315200118432e-246	"2"	"Cldn5"
"Tm4sf1.2"	1.49608559576731e-247	1.463134605876	0.877	0.448	2.99217119153462e-244	"2"	"Tm4sf1"
"Prex2.1"	2.43223014591429e-236	0.857005237966856	0.969	0.474	4.86446029182858e-233	"2"	"Prex2"
"Rsad2.2"	2.99345602703153e-218	0.624526794972797	0.801	0.232	5.98691205406305e-215	"2"	"Rsad2"
"Srgn.2"	5.59952981821516e-209	0.534354274779822	0.844	0.325	1.11990596364303e-205	"2"	"Srgn"
"C1qtnf9.1"	6.60283289783582e-206	0.588787663373308	0.787	0.137	1.32056657956716e-202	"2"	"C1qtnf9"
"Hspb1.1"	5.34638601523087e-204	0.574794308350129	0.967	0.764	1.06927720304617e-200	"2"	"Hspb1"
"Gpihbp1.2"	1.58523803197814e-203	0.616899297022991	0.806	0.159	3.17047606395627e-200	"2"	"Gpihbp1"
"Klf2.1"	4.58877249717126e-193	0.575969741567956	0.99	0.738	9.17754499434251e-190	"2"	"Klf2"
"Ptprb"	3.92150898596841e-190	1.42074130952473	0.738	0.12	7.84301797193682e-187	"2"	"Ptprb"
"Fxyd5.2"	3.08419514739206e-180	0.595177864623086	0.985	0.569	6.16839029478412e-177	"2"	"Fxyd5"
"Mgll.1"	3.68487173365329e-179	0.713110999182684	0.825	0.391	7.36974346730658e-176	"2"	"Mgll"
"Aqp1.2"	2.1019317616127e-171	0.869869520805892	0.778	0.22	4.20386352322541e-168	"2"	"Aqp1"
"Gimap6.2"	3.004638927847e-161	0.677661347563858	0.763	0.187	6.009277855694e-158	"2"	"Gimap6"
"Palmd.2"	6.86676961938826e-152	1.02263947773668	0.737	0.239	1.37335392387765e-148	"2"	"Palmd"
"Efnb2"	5.3559494438678e-148	0.549631583393915	0.807	0.334	1.07118988877356e-144	"2"	"Efnb2"
"Adgrf5"	1.89328556149188e-141	1.05053535788972	0.713	0.129	3.78657112298376e-138	"2"	"Adgrf5"
"Emcn"	2.31242795524581e-138	0.69604222545814	0.726	0.118	4.62485591049162e-135	"2"	"Emcn"
"Plvap.1"	2.93946939095458e-134	1.08538581102187	0.843	0.367	5.87893878190916e-131	"2"	"Plvap"
"Fabp5.2"	5.95984266298792e-134	0.660865187991245	0.741	0.225	1.19196853259758e-130	"2"	"Fabp5"
"Sgk1.2"	5.27359327735467e-132	0.793616608827031	0.824	0.545	1.05471865547093e-128	"2"	"Sgk1"
"Rasd1"	7.68032340106176e-126	0.510292991229899	0.265	0.123	1.53606468021235e-122	"2"	"Rasd1"
"Adgrl4"	2.18063725253451e-125	0.802427077312076	0.696	0.1	4.36127450506902e-122	"2"	"Adgrl4"
"Mast4.1"	2.90375591843192e-124	0.650441147567508	0.984	0.652	5.80751183686385e-121	"2"	"Mast4"
"Epas1.2"	6.47486255529286e-124	1.11310429245951	0.731	0.365	1.29497251105857e-120	"2"	"Epas1"
"Kdr"	2.18862418347563e-120	0.770626832151536	0.709	0.13	4.37724836695126e-117	"2"	"Kdr"
